Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Peak Power Density (dB FS/Hz)	song	element
63	Spectrogram 1	1	202.164784291	202.189662676	3316.500	5886.000	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-23.87	4	a
64	Spectrogram 1	1	202.184331594	202.287399193	1643.300	4123.200	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-24.47	4	b
65	Spectrogram 1	1	202.287399193	202.331824882	1703.000	2479.900	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-25.94	4	c
66	Spectrogram 1	1	202.399351930	202.422453288	3376.200	6005.500	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-24.60	4	a
67	Spectrogram 1	1	202.417122205	202.520189804	1732.900	4153.000	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-24.66	4	b
68	Spectrogram 1	1	202.518412777	202.562838466	1703.000	2509.800	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-25.73	4	c
69	Spectrogram 1	1	202.649912817	202.673014175	3376.200	6125.000	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-26.07	4	a
70	Spectrogram 1	1	202.669460120	202.772527719	1673.200	4153.000	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-26.69	4	b
71	Spectrogram 1	1	202.774304746	202.820507463	1613.400	2420.100	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-24.94	4	c
72	Spectrogram 1	1	202.893365593	202.920021007	3346.300	6005.500	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-27.64	4	a
