"ML Catalog Number","Common Name","Recordist","Year","Month","Day","Country State County","Locality","Loc ID","Behaviors","Taxon Category","source","genus","family","Orginal.Scientific.Name","Scientific.Name","file_url","species_ebird_url","sound.files"
244672221,"White-naped Monarch","Susan Myers",2005,9,19,"ID-MA-MU","Kali Batu Putih","L3277407",NA,"Species","not publication cut","Carterornis","Monarchidae","Carterornis pileatus","Carterornis pileatus","https://macaulaylibrary.org/asset/244672221","https://ebird.org/species/whnmon1","Carterornis_pileatus-ML244672221.wav"
536563291,"Northern Cassowary","Christine Stoughton Root",2023,1,1,"ID-IJ-PB","Klabili","L21995416",NA,"Species","not publication cut","Casuarius","Casuariidae","Casuarius unappendiculatus","Casuarius unappendiculatus","https://macaulaylibrary.org/asset/536563291","https://ebird.org/species/norcas1","Casuarius_unappendiculatus-ML536563291.wav"
190311201,"Sulawesi Thrush","Ian Davies",2019,10,16,"ID-SL-ST","Lore Lindu NP--AntiAnaso Track (~1700m)","L1295134","Song","Species","not publication cut","Cataponera","Turdidae","Cataponera turdoides","Cataponera turdoides","https://macaulaylibrary.org/asset/190311201","https://ebird.org/species/sulthr1","Cataponera_turdoides-ML190311201.wav"
437900471,"Lesser Yellow-headed Vulture","Luiz Silva",2022,4,20,"BR-PR","Inajá--Rio Paranapanema","L12016605",NA,"Species","not publication cut","Cathartes","Cathartidae","Cathartes burrovianus","Cathartes burrovianus","https://macaulaylibrary.org/asset/437900471","https://ebird.org/species/lyhvul1","Cathartes_burrovianus-ML437900471.wav"
32821,"Pygmy Cuckooshrike","Arnoud B. van den Berg",1984,7,25,"ID-SL-ST","Lore Lindu NP--Anaso Track (mostly >2000m)","L1295129","Call; Courtship, Display, or Copulation; Song","Species","not publication cut","Celebesia","Campephagidae","Celebesia abbotti","Celebesia abbotti","https://macaulaylibrary.org/asset/32821","https://ebird.org/species/pygcus1","Celebesia_abbotti-ML32821.wav"
203906661,"Halmahera Cuckooshrike","Josep del Hoyo",2014,9,1,"ID-MA-MU","Weda Resort","L2514873","Call","Species","not publication cut","Celebesia","Campephagidae","Celebesia parvula","Celebesia parvula","https://macaulaylibrary.org/asset/203906661","https://ebird.org/species/halcus1","Celebesia_parvula-ML203906661.wav"
93971,"Gabon Coucal","Linda Macaulay",1995,4,18,"GA-8","Gamba - Shell Oil Facility",NA,"Call","Species","not publication cut","Centropus","Cuculidae","Centropus anselli","Centropus anselli","https://macaulaylibrary.org/asset/93971","https://ebird.org/species/gabcou1","Centropus_anselli-ML93971.wav"
20521,"Pied Coucal","Ronald I. Orenstein",1973,10,30,"PG-WBK","Talasea",NA,"Song","Species","not publication cut","Centropus","Cuculidae","Centropus ateralbus","Centropus ateralbus","https://macaulaylibrary.org/asset/20521","https://ebird.org/species/piecou1","Centropus_ateralbus-ML20521.wav"
251041021,"Lesser Black Coucal","Nick Athanas",2007,6,12,"PG-WPD","Tabubil-Kiunga Rd--Km 17 (accurate)","L3170177","Song","Species","not publication cut","Centropus","Cuculidae","Centropus bernsteini","Centropus bernsteini","https://macaulaylibrary.org/asset/251041021","https://ebird.org/species/lebcou1","Centropus_bernsteini-ML251041021.wav"
32754,"Bay Coucal","Arnoud B. van den Berg",1984,7,21,"ID-SL-ST","Lore Lindu NP--Dongi Dongi (900m asl)","L2981459","Courtship, Display, or Copulation; Song","Species","not publication cut","Centropus","Cuculidae","Centropus celebensis","Centropus celebensis","https://macaulaylibrary.org/asset/32754","https://ebird.org/species/baycou1","Centropus_celebensis-ML32754.wav"
203997201,"Biak Coucal","Hervé JACOB",2017,10,9,"ID-IJ-PA","Biak Island (-0.9777, 135.9393)","L10552379","Call","Species","not publication cut","Centropus","Cuculidae","Centropus chalybeus","Centropus chalybeus","https://macaulaylibrary.org/asset/203997201","https://ebird.org/species/biacou1","Centropus_chalybeus-ML203997201.wav"
177010471,"Goliath Coucal","Peter Kaestner",2019,9,13,"ID-MA-MU","(0.7356,127.8044). Pak Roji’s home","L9905844",NA,"Species","not publication cut","Centropus","Cuculidae","Centropus goliath","Centropus goliath","https://macaulaylibrary.org/asset/177010471","https://ebird.org/species/golcou1","Centropus_goliath-ML177010471.wav"
18696,"Black-faced Coucal","Robert S. Kennedy",1979,3,17,"PH-NCO","Mindanao; North Cotabato; Magpet; Bo. Amabel; Sitio San Roque",NA,"Call","Species","not publication cut","Centropus","Cuculidae","Centropus melanops","Centropus melanops","https://macaulaylibrary.org/asset/18696","https://ebird.org/species/blfcou1","Centropus_melanops-ML18696.wav"
65804,"Greater Black Coucal","Scott  Connop",1993,9,26,"PG-CPM","Brown River","L13341584",NA,"Species","not publication cut","Centropus","Cuculidae","Centropus menbeki","Centropus menbeki","https://macaulaylibrary.org/asset/65804","https://ebird.org/species/grbcou1","Centropus_menbeki-ML65804.wav"
113429,"Buff-headed Coucal","Eleanor D. Brown",1996,5,30,"SB","Vangunu Island; New Georgia; near Seghe",NA,NA,"Species","not publication cut","Centropus","Cuculidae","Centropus milo","Centropus milo","https://macaulaylibrary.org/asset/113429","https://ebird.org/species/buhcou1","Centropus_milo-ML113429.wav"
555871721,"Black-hooded Coucal","Peter Kaestner",2023,4,9,"PH-MDC","Sablayan Prison and Penal Colony--Siburan Forest Reserve","L3616769",NA,"Species","not publication cut","Centropus","Cuculidae","Centropus steerii","Centropus steerii","https://macaulaylibrary.org/asset/555871721","https://ebird.org/species/blhcou1","Centropus_steerii-ML555871721.wav"
38617,"Rufous Coucal","Robert S. Kennedy",1981,5,23,"PH-QUE","Quezon National Park",NA,"Call; Foraging or Eating","Species","not publication cut","Centropus","Cuculidae","Centropus unirufus","Centropus unirufus","https://macaulaylibrary.org/asset/38617","https://ebird.org/species/rufcou1","Centropus_unirufus-ML38617.wav"
20533,"Violaceous Coucal","Ronald I. Orenstein",1973,11,5,"PG-WBK","Keravat, Gazelle Peninsula",NA,"Duet; Song","Species","not publication cut","Centropus","Cuculidae","Centropus violaceus","Centropus violaceus","https://macaulaylibrary.org/asset/20533","https://ebird.org/species/viocou1","Centropus_violaceus-ML20533.wav"
18564,"Philippine Coucal","Robert S. Kennedy",1978,5,30,"PH-DAV","North Cotabato/Magpet/Kiandang; Mindanao",NA,"Call","Species","not publication cut","Centropus","Cuculidae","Centropus viridis","Centropus viridis","https://macaulaylibrary.org/asset/18564","https://ebird.org/species/phicou1","Centropus_viridis-ML18564.wav"
141009,"Yellow-casqued Hornbill","Mike Andersen",2009,5,21,"SL-N","Outamba-Kilimi National Park",NA,"Flying; Non-vocal","Species","not publication cut","Ceratogymna","Bucerotidae","Ceratogymna elata","Ceratogymna elata","https://macaulaylibrary.org/asset/141009","https://ebird.org/species/yechor1","Ceratogymna_elata-ML141009.wav"
1124,"Forest Scrub-Robin","Peter Kaestner",1977,10,29,"CD-OR","1.0 km E of MONT HOYO",NA,NA,"Species","not publication cut","Cercotrichas","Muscicapidae","Cercotrichas leucosticta","Cercotrichas leucosticta","https://macaulaylibrary.org/asset/1124","https://ebird.org/species/fosrob1","Cercotrichas_leucosticta-ML1124.wav"
212018881,"Southern Silvery-Kingfisher","Alex Berryman",2020,2,22,"PH-AGS","Bislig lowlands--Dirty Pond","L1479164",NA,"Species","not publication cut","Ceyx","Alcedinidae","Ceyx argentatus","Ceyx argentatus","https://macaulaylibrary.org/asset/212018881","https://ebird.org/species/silkin1","Ceyx_argentatus-ML212018881.wav"
103101561,"New Georgia Dwarf-Kingfisher","Johnathan Hruska",2017,7,9,"SB-WE","3.7 KM w of Poitete","L7513930",NA,"Species","not publication cut","Ceyx","Alcedinidae","Ceyx collectoris","Ceyx collectoris","https://macaulaylibrary.org/asset/103101561","https://ebird.org/species/vardwk11","Ceyx_collectoris-ML103101561.wav"
204002231,"Indigo-banded Kingfisher (Northern)","Desmond Allen",2008,1,1,"PH-QUE","Polillo (14.7882, 121.943)","L10614822","Call","Group","not publication cut","Ceyx","Alcedinidae","Ceyx cyanopectus","Ceyx cyanopectus","https://macaulaylibrary.org/asset/204002231","https://ebird.org/species/inbkin1","Ceyx_cyanopectus-ML204002231.wav"
33100,"Sulawesi Dwarf-Kingfisher","Arnoud B. van den Berg",1984,8,29,"ID-SL-ST","40.0 km SE of Palu; village of Saluki in Palu Valley",NA,"Call; Courtship, Display, or Copulation","Species","not publication cut","Ceyx","Alcedinidae","Ceyx fallax","Ceyx fallax","https://macaulaylibrary.org/asset/33100","https://ebird.org/species/sulkin1","Ceyx_fallax-ML33100.wav"
247074,"Makira Dwarf-Kingfisher","Niels Krabbe",2006,12,2,"SB-MK","Baranaigasi Ridge, Makira",NA,"Call","Species","not publication cut","Ceyx","Alcedinidae","Ceyx gentianus","Ceyx gentianus","https://macaulaylibrary.org/asset/247074","https://ebird.org/species/vardwk15","Ceyx_gentianus-ML247074.wav"
182216,"Moluccan Dwarf-Kingfisher (North Moluccan)","John C. Mittermeier",2012,7,11,"ID-MA-MU","Obi; Jikotamo; Cabang Sumbali; logged secondary forest along river",NA,NA,"Species","not publication cut","Ceyx","Alcedinidae","Ceyx lepidus","Ceyx lepidus","https://macaulaylibrary.org/asset/182216","https://ebird.org/species/vardwk3","Ceyx_lepidus-ML182216.wav"
204000031,"Dimorphic Dwarf-Kingfisher","Desmond Allen",2002,3,1,"PH-ROM","Tablas Island (12.4352, 122.053)","L10625206","Call","Species","not publication cut","Ceyx","Alcedinidae","Ceyx margarethae","Ceyx margarethae","https://macaulaylibrary.org/asset/204000031","https://ebird.org/species/vardwk1","Ceyx_margarethae-ML204000031.wav"
506144881,"Little Kingfisher","Peter Brown",2022,11,22,"AU-NT-DAR","Casuarina Coastal Reserve--Moth Block","L7421620","Foraging or Eating","Species","not publication cut","Ceyx","Alcedinidae","Ceyx pusillus","Ceyx pusillus","https://macaulaylibrary.org/asset/506144881","https://ebird.org/species/litkin1","Ceyx_pusillus-ML506144881.wav"
65820,"Papuan Dwarf-Kingfisher","Scott  Connop",1993,9,26,"PG-CPM","Brown River","L13341584",NA,"Species","not publication cut","Ceyx","Alcedinidae","Ceyx solitarius","Ceyx solitarius","https://macaulaylibrary.org/asset/65820","https://ebird.org/species/vardwk6","Ceyx_solitarius-ML65820.wav"
203903131,"Sula Dwarf-Kingfisher","Josep del Hoyo",2017,3,22,"ID-MA-MU","Jorjoga","L10592299","Call","Species","not publication cut","Ceyx","Alcedinidae","Ceyx wallacii","Ceyx wallacii","https://macaulaylibrary.org/asset/203903131","https://ebird.org/species/vardwk2","Ceyx_wallacii-ML203903131.wav"
408231091,"Santa Marta Woodstar","Jay McGowan",2021,12,24,"CO-MAG","RNA Proaves El Dorado—Restaurante","L17128665","Non-vocal","Species","not publication cut","Chaetocercus","Trochilidae","Chaetocercus astreans","Chaetocercus astreans","https://macaulaylibrary.org/asset/408231091","https://ebird.org/species/samwoo2","Chaetocercus_astreans-ML408231091.wav"
79801,"Drongo Fantail","Andrew Mack",1996,4,14,"PG-GPK","11.0 km SW of Tekadu Airstrip (Ivimka Camp)",NA,"Call","Species","not publication cut","Chaetorhynchus","Rhipiduridae","Chaetorhynchus papuensis","Chaetorhynchus papuensis","https://macaulaylibrary.org/asset/79801","https://ebird.org/species/papdro1","Chaetorhynchus_papuensis-ML79801.wav"
87343,"Buff-throated Sunbird","David Moyer",1994,5,24,"GH-CP","Assin Attandanso Resource Reserve; Abuabu",NA,"Song","Species","not publication cut","Chalcomitra","Nectariniidae","Chalcomitra adelberti","Chalcomitra adelberti","https://macaulaylibrary.org/asset/87343","https://ebird.org/species/butsun2","Chalcomitra_adelberti-ML87343.wav"
1600,"Carmelite Sunbird","Peter Kaestner",1978,8,13,"CD","Moanda",NA,"Song","Species","not publication cut","Chalcomitra","Nectariniidae","Chalcomitra fuliginosa","Chalcomitra fuliginosa","https://macaulaylibrary.org/asset/1600","https://ebird.org/species/carsun2","Chalcomitra_fuliginosa-ML1600.wav"
182750,"Stephan's Dove","Alexandra Class Freeman",2013,4,12,"PG-MPM","Karkar Island",NA,"Song","Species","not publication cut","Chalcophaps","Columbidae","Chalcophaps stephani","Chalcophaps stephani","https://macaulaylibrary.org/asset/182750","https://ebird.org/species/stedov1","Chalcophaps_stephani-ML182750.wav"
203692301,"Brown Lory","Josep del Hoyo",2008,7,26,"ID-IJ-PA","Nimbokrang -- Swamp forest North","L9890196","Call","Species","not publication cut","Chalcopsitta","Psittaculidae","Chalcopsitta duivenbodei","Chalcopsitta duivenbodei","https://macaulaylibrary.org/asset/203692301","https://ebird.org/species/brolor1","Chalcopsitta_duivenbodei-ML203692301.wav"
485351511,"Yellow-streaked Lory","David Bree",2022,8,14,"PG-WPD","Edwin's lodge near Kwatu Lodge","L20748131",NA,"Species","not publication cut","Chalcopsitta","Psittaculidae","Chalcopsitta scintillata","Chalcopsitta scintillata","https://macaulaylibrary.org/asset/485351511","https://ebird.org/species/yeslor1","Chalcopsitta_scintillata-ML485351511.wav"
203948911,"White-faced Plover","Eric francois Roualet",2014,6,23,"CN-32","Rudong (32.3289, 121.182)","L10618500","Call","Species","not publication cut","Charadrius","Charadriidae","Charadrius dealbatus","Charadrius dealbatus","https://macaulaylibrary.org/asset/203948911","https://ebird.org/species/whfplo2","Charadrius_dealbatus-ML203948911.wav"
20369221,"Javan Plover","Bruno Durand",2015,10,12,"ID-NU-BA","Pulau Serangan","L1159344","Call","Species","not publication cut","Charadrius","Charadriidae","Charadrius javanicus","Charadrius javanicus","https://macaulaylibrary.org/asset/20369221","https://ebird.org/species/javplo1","Charadrius_javanicus-ML20369221.wav"
31641721,"St. Helena Plover","James (Jim) Holmes",2016,4,17,"SH-SH","Deadwood Plain","L4543809",NA,"Species","not publication cut","Charadrius","Charadriidae","Charadrius sanctaehelenae","Charadrius sanctaehelenae","https://macaulaylibrary.org/asset/31641721","https://ebird.org/species/sthplo1","Charadrius_sanctaehelenae-ML31641721.wav"
107188,"Pygmy Lorikeet","Eleanor D. Brown",1998,9,19,"PG-SHM","below Tari Gap, at ""Benson's spot"" off Highlands Highway",NA,"Call","Species","not publication cut","Charminetta","Psittaculidae","Charminetta wilhelminae","Charminetta wilhelminae","https://macaulaylibrary.org/asset/107188","https://ebird.org/species/pyglor1","Charminetta_wilhelminae-ML107188.wav"
100434,"Josephine's Lorikeet","Andrew Mack",1998,4,12,"ID-IJ","125.0 km NW of Tembagapura; Paniai Kabupaten; Wapoga Alpha Camp",NA,"Call; Courtship, Display, or Copulation","Species","not publication cut","Charmosyna","Psittaculidae","Charmosyna josefinae","Charmosyna josefinae","https://macaulaylibrary.org/asset/100434","https://ebird.org/species/joslor1","Charmosyna_josefinae-ML100434.wav"
22707,"Papuan Lorikeet","Thane Pratt",1974,NA,NA,"PG-MPL","Wau",NA,"Call","Species","not publication cut","Charmosyna","Psittaculidae","Charmosyna papou","Charmosyna papou","https://macaulaylibrary.org/asset/22707","https://ebird.org/species/paplor1","Charmosyna_papou-ML22707.wav"
247032,"Duchess Lorikeet","Niels Krabbe",2006,11,30,"SB-MK","Baranaigasi Ridge, Makira",NA,"Call","Species","not publication cut","Charmosynoides","Psittaculidae","Charmosynoides margarethae","Charmosynoides margarethae","https://macaulaylibrary.org/asset/247032","https://ebird.org/species/duclor1","Charmosynoides_margarethae-ML247032.wav"
79812,"Fairy Lorikeet","Andrew Mack",1996,4,22,"PG-GPK","11.0 km SW of Tekadu Airstrip (Ivimka Camp)",NA,"Call","Species","not publication cut","Charmosynopsis","Psittaculidae","Charmosynopsis pulchella","Charmosynopsis pulchella","https://macaulaylibrary.org/asset/79812","https://ebird.org/species/failor1","Charmosynopsis_pulchella-ML79812.wav"
498948971,"White-backed Swallow","David Secomb",2022,8,20,"AU-SA-UNI","Mungerannie","L920752","Call; Flying","Species","not publication cut","Cheramoeca","Hirundinidae","Cheramoeca leucosterna","Cheramoeca leucosterna","https://macaulaylibrary.org/asset/498948971","https://ebird.org/species/whbswa3","Cheramoeca_leucosterna-ML498948971.wav"
441912201,"Gouldian Finch","James Lambert",2022,4,30,"AU-NT-DAR","Casuarina Coastal Reserve--Dariba Rd","L1253605",NA,"Species","not publication cut","Chloebia","Estrildidae","Chloebia gouldiae","Chloebia gouldiae","https://macaulaylibrary.org/asset/441912201","https://ebird.org/species/goufin3","Chloebia_gouldiae-ML441912201.wav"
1593,"Yellow-necked Greenbul","Peter Kaestner",1978,8,12,"CD","Moanda",NA,"Call","Species","not publication cut","Chlorocichla","Pycnonotidae","Chlorocichla falkensteini","Chlorocichla falkensteini","https://macaulaylibrary.org/asset/1593","https://ebird.org/species/yengre1","Chlorocichla_falkensteini-ML1593.wav"
146758441,"Little Gray Woodpecker","Jay McGowan",2018,12,31,"SN-SL","Richard Toll--radio tower road","L8322845","Non-vocal","Species","not publication cut","Chloropicus","Picidae","Chloropicus elachus","Chloropicus elachus","https://macaulaylibrary.org/asset/146758441","https://ebird.org/species/ligwoo3","Chloropicus_elachus-ML146758441.wav"
523996011,"Elliot's Woodpecker","Rose Ann Rowlett",1990,7,24,"RW-04","Nyungwe Forest NP","L2462017","Foraging or Eating; Song","Species","not publication cut","Chloropicus","Picidae","Chloropicus elliotii","Chloropicus elliotii","https://macaulaylibrary.org/asset/523996011","https://ebird.org/species/ellwoo1","Chloropicus_elliotii-ML523996011.wav"
1149,"Gabon Woodpecker","Peter Kaestner",1977,10,31,"CD-OR","1.0 km E of MONT HOYO",NA,"Non-vocal","Species","not publication cut","Chloropicus","Picidae","Chloropicus gabonensis","Chloropicus gabonensis","https://macaulaylibrary.org/asset/1149","https://ebird.org/species/gabwoo1","Chloropicus_gabonensis-ML1149.wav"
23199,"Melancholy Woodpecker","G. Stuart Keith",1971,2,22,"LR","Nimba",NA,"Call","Species","not publication cut","Chloropicus","Picidae","Chloropicus lugubris","Chloropicus lugubris","https://macaulaylibrary.org/asset/23199","https://ebird.org/species/melwoo1","Chloropicus_lugubris-ML23199.wav"
86901,"Fire-bellied Woodpecker","David Moyer",1994,6,16,"GH-CP","Kakum National Park","L10049996","Non-vocal","Species","not publication cut","Chloropicus","Picidae","Chloropicus pyrrhogaster","Chloropicus pyrrhogaster","https://macaulaylibrary.org/asset/86901","https://ebird.org/species/fibwoo1","Chloropicus_pyrrhogaster-ML86901.wav"
18695,"Philippine Leafbird","Robert S. Kennedy",1979,3,17,"PH-NCO","Mindanao; North Cotabato; Magpet; Bo. Amabel; Sitio San Roque",NA,"Call; Foraging or Eating","Species","not publication cut","Chloropsis","Chloropseidae","Chloropsis flavipennis","Chloropsis flavipennis","https://macaulaylibrary.org/asset/18695","https://ebird.org/species/philea1","Chloropsis_flavipennis-ML18695.wav"
183430,"Bornean Leafbird","Ryan Burner",2012,10,5,"ID-KA-KI","Kutai Barat Regency; Long Apari District",NA,"Song","Species","not publication cut","Chloropsis","Chloropseidae","Chloropsis kinabaluensis","Chloropsis kinabaluensis","https://macaulaylibrary.org/asset/183430","https://ebird.org/species/borlea1","Chloropsis_kinabaluensis-ML183430.wav"
75554461,"Yellow-throated Leafbird","Tomas Telensky",2010,12,31,"PH-PLW","Sabang, walking trip to mangroves, oriole","L6485604","Call","Species","not publication cut","Chloropsis","Chloropseidae","Chloropsis palawanensis","Chloropsis palawanensis","https://macaulaylibrary.org/asset/75554461","https://ebird.org/species/yetlea1","Chloropsis_palawanensis-ML75554461.wav"
70506,"Blue-masked Leafbird","Arnoud B. van den Berg",1989,5,31,"ID-SM-SB","32.0 km NE of Bukit Subang; 10km above Bung Hatta Nature Reserve; Padang",NA,"Call; Courtship, Display, or Copulation; Foraging or Eating","Species","not publication cut","Chloropsis","Chloropseidae","Chloropsis venusta","Chloropsis venusta","https://macaulaylibrary.org/asset/70506","https://ebird.org/species/blmlea1","Chloropsis_venusta-ML70506.wav"
65889,"Rufous-throated Bronze-Cuckoo","Scott  Connop",1993,10,4,"PG-CPM","Ambua Lodge",NA,NA,"Species","not publication cut","Chrysococcyx","Cuculidae","Chrysococcyx ruficollis","Chrysococcyx ruficollis","https://macaulaylibrary.org/asset/65889","https://ebird.org/species/rtbcuc1","Chrysococcyx_ruficollis-ML65889.wav"
86906561,"Red-headed Flameback","Knut Hansen",2018,2,13,"PH-PLW","Sabang--ATV trail, Puerto Princesa","L4377697","Call","Species","not publication cut","Chrysocolaptes","Picidae","Chrysocolaptes erythrocephalus","Chrysocolaptes erythrocephalus","https://macaulaylibrary.org/asset/86906561","https://ebird.org/species/rehfla1","Chrysocolaptes_erythrocephalus-ML86906561.wav"
192962391,"Luzon Flameback","Kim Cancino",2019,12,13,"PH-PAN","Manleluag Spring Protected Landscape, Mangatarem","L10179509","Foraging or Eating; Non-vocal","Species","not publication cut","Chrysocolaptes","Picidae","Chrysocolaptes haematribon","Chrysocolaptes haematribon","https://macaulaylibrary.org/asset/192962391","https://ebird.org/species/luzfla1","Chrysocolaptes_haematribon-ML192962391.wav"
18648,"Buff-spotted Flameback","Robert S. Kennedy",1979,3,7,"PH-NCO","Bo Amabel, Sitio San Roque",NA,"Call; Flying; Foraging or Eating; Non-vocal","Species","not publication cut","Chrysocolaptes","Picidae","Chrysocolaptes lucidus","Chrysocolaptes lucidus","https://macaulaylibrary.org/asset/18648","https://ebird.org/species/busfla1","Chrysocolaptes_lucidus-ML18648.wav"
20996,"Magnificent Bird-of-Paradise","Dale A. Zimmerman",1979,8,6,"PG-MPL","MT. MISIM; NEAR WAU",NA,"Call","Species","not publication cut","Cicinnurus","Paradisaeidae","Cicinnurus magnificus","Cicinnurus magnificus","https://macaulaylibrary.org/asset/20996","https://ebird.org/species/mbopar2","Cicinnurus_magnificus-ML20996.wav"
20961,"King Bird-of-Paradise","Dale A. Zimmerman",1979,7,31,"PG-CPM","75.0 km N of PORT MORESBY; VEIMAURI FOREST",NA,"Call; Courtship, Display, or Copulation; Song","Species","not publication cut","Cicinnurus","Paradisaeidae","Cicinnurus regius","Cicinnurus regius","https://macaulaylibrary.org/asset/20961","https://ebird.org/species/kbopar1","Cicinnurus_regius-ML20961.wav"
163656,"Wilson's Bird-of-Paradise","Edwin Scholes",2010,9,30,"ID-IJ","Waigeo Island, Raja Ampat Archipelago",NA,"Non-vocal; Song","Species","not publication cut","Cicinnurus","Paradisaeidae","Cicinnurus respublica","Cicinnurus respublica","https://macaulaylibrary.org/asset/163656","https://ebird.org/species/wbopar1","Cicinnurus_respublica-ML163656.wav"
310110461,"Oriental Stork","Alexander Thomas",2016,5,24,"RU-AMU","Муравьевка (Muravyevka Park)","L3571710","Non-vocal","Species","not publication cut","Ciconia","Ciconiidae","Ciconia boyciana","Ciconia boyciana","https://macaulaylibrary.org/asset/310110461","https://ebird.org/species/oristo1","Ciconia_boyciana-ML310110461.wav"
319259921,"Black Stork","Sergio Mayordomo",2021,3,23,"ES-EX-CC","PNM-14 (39,847, -6,006)","L7284753",NA,"Species","not publication cut","Ciconia","Ciconiidae","Ciconia nigra","Ciconia nigra","https://macaulaylibrary.org/asset/319259921","https://ebird.org/species/blasto1","Ciconia_nigra-ML319259921.wav"
26966231,"New Caledonian Grassbird","Andrew Spencer",2015,12,20,"NC-","Nérin Road (RM29) - high point","L4078553","Call","Species","not publication cut","Cincloramphus","Locustellidae","Cincloramphus mariei","Cincloramphus mariei","https://macaulaylibrary.org/asset/26966231","https://ebird.org/species/necgra1","Cincloramphus_mariei-ML26966231.wav"
166526,"Long-legged Thicketbird","Mike Andersen",2009,11,18,"FJ-C","Monasavu Dam",NA,"Call","Species","not publication cut","Cincloramphus","Locustellidae","Cincloramphus rufus","Cincloramphus rufus","https://macaulaylibrary.org/asset/166526","https://ebird.org/species/lolwar1","Cincloramphus_rufus-ML166526.wav"
369544321,"Santo Thicketbird","Dominik Maximilián Ramík",2021,8,26,"VU-SAM","Tabwemasana 2021 Survey (-15,356, 166,7462)","L16282407",NA,"Group","not publication cut","Cincloramphus","Locustellidae","Cincloramphus whitneyi","Cincloramphus whitneyi","https://macaulaylibrary.org/asset/369544321","https://ebird.org/species/guathi2","Cincloramphus_whitneyi-ML369544321.wav"
65850,"Painted Quail-thrush","Scott  Connop",1993,9,30,"PG-CPM","Varirata National Park","L2398903","Song","Species","not publication cut","Cinclosoma","Cinclosomatidae","Cinclosoma ajax","Cinclosoma ajax","https://macaulaylibrary.org/asset/65850","https://ebird.org/species/paqthr1","Cinclosoma_ajax-ML65850.wav"
466427901,"Nullarbor Quail-thrush","James (Jim) Holmes",2022,6,24,"AU-SA-UNI","Nullarbor Roadhouse","L921815","Call","Species","not publication cut","Cinclosoma","Cinclosomatidae","Cinclosoma alisteri","Cinclosoma alisteri","https://macaulaylibrary.org/asset/466427901","https://ebird.org/species/nulqut1","Cinclosoma_alisteri-ML466427901.wav"
309408001,"Orange-tufted Sunbird","Peter  Steward",2020,12,26,"KE-800","Kakamega Forest NR--Zimmerman Plot/Isecheno Forest Station","L1478011",NA,"Species","not publication cut","Cinnyris","Nectariniidae","Cinnyris bouvieri","Cinnyris bouvieri","https://macaulaylibrary.org/asset/309408001","https://ebird.org/species/ortsun3","Cinnyris_bouvieri-ML309408001.wav"
199785391,"Apricot-breasted Sunbird","Ian Davies",2019,10,25,"ID-NU-NT","KM 51 - forest east of Lewa","L3048459","Call","Species","not publication cut","Cinnyris","Nectariniidae","Cinnyris buettikoferi","Cinnyris buettikoferi","https://macaulaylibrary.org/asset/199785391","https://ebird.org/species/apbsun2","Cinnyris_buettikoferi-ML199785391.wav"
101993,"Seychelles Sunbird","Ian Sinclair",1991,6,13,"SC",NA,NA,"Song","Species","not publication cut","Cinnyris","Nectariniidae","Cinnyris dussumieri","Cinnyris dussumieri","https://macaulaylibrary.org/asset/101993","https://ebird.org/species/seysun2","Cinnyris_dussumieri-ML101993.wav"
23316,"Johanna's Sunbird","G. Stuart Keith",1971,2,22,"LR","Nimba",NA,NA,"Species","not publication cut","Cinnyris","Nectariniidae","Cinnyris johannae","Cinnyris johannae","https://macaulaylibrary.org/asset/23316","https://ebird.org/species/johsun2","Cinnyris_johannae-ML23316.wav"
399655451,"Oustalet's Sunbird","Ken Behrens",2021,8,31,"AO-HUA","Miombo - Morro de Moco (ANGOLA BIRDING ROUTE)","L17211328",NA,"Species","not publication cut","Cinnyris","Nectariniidae","Cinnyris oustaleti","Cinnyris oustaleti","https://macaulaylibrary.org/asset/399655451","https://ebird.org/species/oussun2","Cinnyris_oustaleti-ML399655451.wav"
511187591,"Shelley's Sunbird (Shelley's)","Cameron Blair",2022,11,4,"ZM-07","Semahwa Farm (permission required)","L20769439",NA,"Group","not publication cut","Cinnyris","Nectariniidae","Cinnyris shelleyi","Cinnyris shelleyi","https://macaulaylibrary.org/asset/511187591","https://ebird.org/species/shesun3","Cinnyris_shelleyi-ML511187591.wav"
168903,"Flame-breasted Sunbird","Tim Burr",2012,2,19,"ID-NU-NT","Potawangka",NA,"Song","Species","not publication cut","Cinnyris","Nectariniidae","Cinnyris solaris","Cinnyris solaris","https://macaulaylibrary.org/asset/168903","https://ebird.org/species/flbsun2","Cinnyris_solaris-ML168903.wav"
360273251,"Stuhlmann's Sunbird","Niall D Perrins",2021,7,21,"UG-W","Mgahinga Gorilla NP","L1278911","Call","Species","not publication cut","Cinnyris","Nectariniidae","Cinnyris stuhlmanni","Cinnyris stuhlmanni","https://macaulaylibrary.org/asset/360273251","https://ebird.org/species/stusun1","Cinnyris_stuhlmanni-ML360273251.wav"
176561,"Ursula's Sunbird","Paul Rodewald",1992,3,5,"CM","Southwest Province; Dikome Balue",NA,"Song","Species","not publication cut","Cinnyris","Nectariniidae","Cinnyris ursulae","Cinnyris ursulae","https://macaulaylibrary.org/asset/176561","https://ebird.org/species/urssun2","Cinnyris_ursulae-ML176561.wav"
