"family","species","species_ebird_url","catalog_ID","sound_file","common.name","original_species_name","observations","behaviors","age_and_sex","file_url"
"Pellorneidae","Illadopsis pyrrhoptera","https://ebird.org/species/mouill1",1266,"Illadopsis_pyrrhoptera-ML1266.wav","Mountain Illadopsis","Illadopsis pyrrhoptera",NA,"Duet; Song","Unknown – 2","https://macaulaylibrary.org/asset/1266"
"Cisticolidae","Apalis binotata","https://ebird.org/species/masapa1",1271,"Apalis_binotata-ML1271.wav","Masked Apalis","Apalis binotata",NA,"Duet; Non-vocal; Song","Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/1271"
"Malaconotidae","Laniarius holomelas","https://ebird.org/species/mosbou4",1280,"Laniarius_holomelas-ML1280.wav","Albertine Boubou","Laniarius holomelas",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1280"
"Phylloscopidae","Phylloscopus laetus","https://ebird.org/species/rfwwar1",1285,"Phylloscopus_laetus-ML1285.wav","Red-faced Woodland-Warbler","Phylloscopus laetus",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1285"
"Sylviidae","Sylvia atriceps","https://ebird.org/species/afhbab3",1297,"Sylvia_atriceps-ML1297.wav","Rwenzori Hill Babbler","Sylvia atriceps",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1297"
"Pycnonotidae","Arizelocichla nigriceps","https://ebird.org/species/easmog5",1302,"Arizelocichla_nigriceps-ML1302.wav","Eastern Mountain Greenbul (Olive-breasted)","Arizelocichla nigriceps kikuyuensis",NA,NA,"Adult – 1","https://macaulaylibrary.org/asset/1302"
"Platysteiridae","Batis diops","https://ebird.org/species/ruwbat1",1312,"Batis_diops-ML1312.wav","Rwenzori Batis","Batis diops",NA,NA,"Adult – 1","https://macaulaylibrary.org/asset/1312"
"Cisticolidae","Cisticola erythrops","https://ebird.org/species/refcis1",1324,"Cisticola_erythrops-ML1324.wav","Red-faced Cisticola","Cisticola erythrops",NA,"Courtship, Display, or Copulation; Duet; Song","Adult – 1","https://macaulaylibrary.org/asset/1324"
"Motacillidae","Macronyx croceus","https://ebird.org/species/yetlon1",1327,"Macronyx_croceus-ML1327.wav","Yellow-throated Longclaw","Macronyx croceus",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1327"
"Estrildidae","Delacourella capistrata","https://ebird.org/species/gyholi1",1361,"Delacourella_capistrata-ML1361.wav","Gray-headed Oliveback","Delacourella capistrata",NA,"Flying","Adult – 2","https://macaulaylibrary.org/asset/1361"
"Nectariniidae","Cyanomitra verticalis","https://ebird.org/species/gnhsun1",1367,"Cyanomitra_verticalis-ML1367.wav","Green-headed Sunbird","Cyanomitra verticalis",NA,"Flying; Song","Adult Male – 1","https://macaulaylibrary.org/asset/1367"
"Falconidae","Falco cuvierii","https://ebird.org/species/afrhob1",1378,"Falco_cuvierii-ML1378.wav","African Hobby","Falco cuvierii",NA,"Call","Adult Male – 1","https://macaulaylibrary.org/asset/1378"
"Muscicapidae","Cercotrichas hartlaubi","https://ebird.org/species/bbsrob1",1384,"Cercotrichas_hartlaubi-ML1384.wav","Brown-backed Scrub-Robin","Cercotrichas hartlaubi",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1384"
"Picidae","Chloropicus xantholophus","https://ebird.org/species/gocwoo3",1389,"Chloropicus_xantholophus-ML1389.wav","Golden-crowned Woodpecker","Chloropicus xantholophus",NA,"Call; Courtship, Display, or Copulation","Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/1389"
"Estrildidae","Mandingoa nitidula","https://ebird.org/species/grbtwi1",1392,"Mandingoa_nitidula-ML1392.wav","Green-backed Twinspot","Mandingoa nitidula",NA,"Call; Foraging or Eating","Adult – 4","https://macaulaylibrary.org/asset/1392"
"Nectariniidae","Cinnyris minullus","https://ebird.org/species/tinsun2",1399,"Cinnyris_minullus-ML1399.wav","Tiny Sunbird","Cinnyris minullus",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/1399"
